SerialNo,Title,Date,Year,Month,Summary,Fatalities,Injured,Totalvictims,MentalHealthIssues,Race,Gender,Location,Latitude,Longitude
1,Las Vegas Strip mass shooting,10/1/2017,2017,10,,58,515,573,Unclear,,,"Las Vegas, NV",36.169941,-115.139832
2,San Francisco UPS shooting,6/14/2017,2017,6,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Yes,Asian,M,"San Francisco, CA",37.774929,-122.419418
3,Pennsylvania supermarket shooting,6/7/2017,2017,6,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Unclear,White,M,"Tunkhannock, PA",41.540470,-75.945633
4,Florida awning manufacturer shooting,6/5/2017,2017,6,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Unclear,,M,"Orlando, Florida",28.538336,-81.379234
5,Rural Ohio nursing home shooting,5/12/2017,2017,5,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,Yes,White,M,"Kirkersville, Ohio",39.953800,-82.599487
6,Fresno downtown shooting,4/18/2017,2017,4,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Unclear,Black,M,"Fresno, California",36.737797,-119.787125
7,Fort Lauderdale airport shooting,1/6/2017,2017,1,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him.",5,6,11,Yes,Latino,M,"Fort Lauderdale, Florida",26.124161,-80.143593
8,Cascade Mall shooting,9/23/2016,2016,9,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macyâ€™s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence.",5,0,5,Yes,,M,"Burlington, WA",48.476990,-122.324791
9,Baton Rouge police shooting,7/17/2016,2016,7,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Yes,Black,M,"Baton Rouge, LA",30.451468,-91.187149
10,Dallas police shooting,7/7/2016,2016,7,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Unclear,Black,M,"Dallas, Texas",32.776665,-96.796989
11,Orlando nightclub massacre,6/12/2016,2016,6,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Unclear,Other,M,"Orlando, Florida",28.538336,-81.379234
12,"Ferguson, MO Drive by",4/29/2016,2016,4,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,Unknown,Unknown,Unknown,"Ferguson, Missouri",38.744217,-90.305391
13,"Forestville, Maryland Drive-by",4/26/2016,2016,4,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,Unknown,Unknown,Unknown,"42486,",38.845113,-76.874972
14,"Halifax County, VA",4/24/2016,2016,4,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,Unknown,Black American or African American,Male,"42484,",36.765971,-78.928344
15,Tire-Slashing revenge escalation,4/21/2016,2016,4,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,Unknown,Black American or African American,Male,"42481,",39.290385,-76.612189
16,Chicago Rap video Shootout,4/19/2016,2016,4,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,Unknown,Unknown,Unknown,"42479,",41.878114,-87.629798
17,Texas family murder-suicide,4/19/2016,2016,4,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,Unknown,White American or European American,Male,"42479,",29.785785,-95.824396
